episodio,costo_total_soles,costo_hp_soles,costo_hfp_soles,r_cost_mean,r_grid_stable_mean,grid_ramp_mean_kwh,grid_ramp_std_kwh,grid_cv,grid_peak_kwh,grid_valley_kwh,peak_valley_ratio,co2_f6d_kg,co2_neta_kg,grid_import_kwh,solar_export_kwh,solar_export_co2_kg
11,2291426.468386543,350075.8961450043,1941350.5722415387,-0.38637327815692435,-0.1536229640375465,230.60251355612837,265.1281139642607,0.8599492692970583,2891.804032595552,0.0,,229225.9979024685,2452382.461595875,7415977.493017806,507024.98983071995,229225.9979024685
12,2285177.655659479,315958.0975775426,1969219.558081936,-0.3854358951633139,-0.15566970812555866,233.5260513560703,264.4776086498471,0.8497475378504505,2886.672246216686,0.0,,237343.4111195453,2460637.8063099547,7437638.104834204,524979.8963051211,237343.4111195453
13,2248791.3854641714,243945.89422929884,2004845.4912348727,-0.3792108460662031,-0.15297616639555042,229.5376964357102,264.6741747539108,0.8569175511000211,2914.3709530372093,0.0,,227775.3976985305,2472134.5091996333,7403806.447004278,503816.40720754367,227775.3976985305
14,2232823.6142253876,205605.71612015454,2027217.898105233,-0.37661904947306013,-0.1508645076157911,226.40604267532862,263.9853510793444,0.8578153997627372,2865.965428584189,0.0,,228346.74873104584,2462090.8224881683,7397470.067330179,505080.1785690021,228346.74873104584
15,2218870.6544812564,182035.55598174417,2036835.098499512,-0.3739784905899364,-0.14759929714004502,221.45590493536528,262.04983547314635,0.8564625984981328,2887.3482382716634,0.0,,227591.7110310776,2458589.7422347874,7379388.992242434,503410.11066374165,227591.7110310776
16,2223726.9040047824,187430.07818631834,2036296.8258184644,-0.3745354515896148,-0.14811284457532875,222.2650832849057,262.4267886127291,0.8535413191044318,2783.981320436004,0.0,,229720.7947580352,2453960.825411336,7389229.637214419,508119.43100649235,229720.7947580352
17,2230898.3282656595,236071.52190845305,1994826.806357206,-0.3755246582959623,-0.14677263128523252,220.19469021490977,260.48035259429196,0.8615696633460416,3070.700421007861,0.0,,222872.7380383465,2460325.8849078584,7352389.95159522,492972.21419674077,222872.7380383465
18,2274154.498962146,338479.36420424934,1935675.1347578974,-0.38214498102896055,-0.14586813091358447,218.82946487804844,259.9773676772424,0.8644749719128012,2791.873324804035,0.0,,222855.4398457848,2442924.378777546,7371391.931967737,492933.9523242309,222855.4398457848
19,2328666.6819900637,485336.16120866453,1843330.5207813988,-0.3906220313822316,-0.14682078083219655,220.30082802733259,260.51205554000785,0.8591756068210382,2818.6798782177234,0.0,,222459.90868659463,2458218.713697906,7372856.74953836,492059.0769444694,222459.90868659463
20,2400290.8328266055,686978.0005494149,1713312.8322771904,-0.39861792253819567,-0.14678513730315013,220.2493574468752,259.6699432442878,0.8588243925567742,2879.999133180577,0.0,,223533.62337991927,2460346.6502153566,7363812.310400045,494434.0264983837,223533.62337991927
21,2500801.843093062,957423.7137513853,1543378.1293416768,-0.4036062206389368,-0.1466468712165487,219.9909039116658,261.45742551973524,0.8574195599305239,2782.326384286538,0.0,,221403.2447970452,2459408.498719642,7366933.433019562,489721.8420638027,221403.2447970452
22,2592452.7688358724,1211014.983711451,1381437.7851244214,-0.40616367540021864,-0.14633392776431925,219.59667575973717,262.48699727080174,0.8590157186995708,2918.2460957314893,0.0,,221115.24681822065,2460590.033978046,7360956.959984185,489084.81932807044,221115.24681822065
23,2674547.5507347006,1425140.9754442493,1249406.575290451,-0.40691285359074053,-0.144787192648149,217.24238511141456,261.0639226243026,0.8545515910708487,2753.627849467983,0.0,,223776.49580172703,2451529.434379999,7372052.831637194,494971.23601355235,223776.49580172703
24,2733232.5126075316,1583553.3130536324,1149679.1995538992,-0.40100340774820836,-0.14444762147459778,216.74127861135833,262.57578347182863,0.8501846395678606,2765.920917409021,0.0,,225822.8568950153,2468693.7016640217,7373233.202997918,499497.5821610602,225822.8568950153
25,2761579.9834131845,1639766.259814379,1121813.7235988053,-0.39753475880538647,-0.14844736595375094,222.70655885439646,263.5069781152978,0.8483500204385007,2786.428595147567,0.0,,232065.57524542665,2465982.372720076,7399451.066718799,513305.8510184177,232065.57524542665
26,2714526.496762817,1542559.787382096,1171966.7093807207,-0.3989603042993373,-0.14407911326916562,216.2094875496875,262.0489956755992,0.8530476793521715,2687.6658360590272,0.0,,224752.18212243903,2460703.384443283,7360857.527901112,497129.3566079165,224752.18212243903
27,2643261.5275722533,1328049.1838282635,1315212.34374399,-0.40059499843225105,-0.14357649259447644,215.4072640029064,261.95027407706357,0.8455169542676717,2677.167891491459,0.0,,233532.25623347945,2457267.927295885,7387386.687716391,516550.00272833323,233532.25623347945
