episodio,costo_total_soles,costo_hp_soles,costo_hfp_soles,r_cost_mean,r_grid_stable_mean,grid_ramp_mean_kwh,grid_ramp_std_kwh,grid_cv,grid_peak_kwh,grid_valley_kwh,peak_valley_ratio,co2_f6d_kg,co2_neta_kg,grid_import_kwh,solar_export_kwh,solar_export_co2_kg
26,2625033.49252874,1292429.6523145163,1332603.8402142234,-0.4019600505484636,-0.1423837283452001,213.643434634347,260.3385394711759,0.8509782273822939,2832.3028729832035,0.0,,228206.24300897543,2465573.617769485,7362422.312544419,504769.3939592467,228206.24300897543
27,2537637.66526642,1054903.1082360204,1482734.5570303998,-0.40113861299358206,-0.14200305357788057,213.09450346687356,261.581293686894,0.8497347205631601,2797.4008337485884,0.0,,228952.0835324786,2469856.705904336,7369862.945086624,506419.1186296806,228952.0835324786
28,2446898.641432714,811275.424654515,1635623.2167781992,-0.39916505090980153,-0.1405772813784569,210.87803145929567,260.5585965928066,0.8492774588280143,2833.762825308892,0.0,,229041.4107316721,2465718.0828996943,7370142.275799637,506616.70146355254,229041.4107316721
29,2355737.856588166,568357.7846014032,1787380.0719867628,-0.39739804571699183,-0.1389057772675305,208.38468743581214,259.913001535527,0.8466331635150324,2862.551485218027,0.0,,228772.9855486521,2466752.0502293217,7366662.199397044,506022.97179529327,228772.9855486521
30,2309498.331869102,438504.4759817481,1870993.8558873537,-0.38997284066834875,-0.14111447215942863,211.75570629968604,260.7853662916431,0.8493565229408739,2822.138037818765,0.0,,228459.71929166323,2465587.451841294,7360838.985669059,505330.0581545305,228459.71929166323
31,2294956.534444422,403815.19944868924,1891141.3349957326,-0.38773976418759987,-0.13925419712443257,208.89989083750993,260.80800255275733,0.8474636888181518,2860.514212946744,0.0,,228913.8203745059,2467402.4687201707,7366269.029904651,506334.4843497145,228913.8203745059
32,2289916.1915640337,387618.3888652049,1902297.8026988287,-0.3870047234906393,-0.13885205096926123,208.30702044814467,261.9665792888869,0.8461207922571137,2649.006652427893,0.0,,229160.40054214437,2465457.505016793,7360211.814643559,506879.8950279681,229160.40054214437
33,2287730.2784162452,379582.9523209502,1908147.326095295,-0.3865611288814493,-0.1379626997448823,207.01857963492355,261.40844158043103,0.8446942954835374,2810.960882979776,0.0,,229181.37453403452,2464504.9613356325,7363382.894938082,506926.2874010938,229181.37453403452
34,2279674.347172524,354140.1558869036,1925534.1912856204,-0.3852873367819113,-0.13806514430746814,207.12768061412172,260.7734203718347,0.8447638109696096,2786.122523540375,0.0,,230830.16151862824,2465324.790714493,7366035.197416552,510573.2393687862,230830.16151862824
35,2258707.791541268,304414.2408847356,1954293.5506565329,-0.381749948604116,-0.13784050542261886,206.78012545027184,261.8344686176958,0.8442917868404746,2743.6127235874283,0.0,,230445.0872275666,2465351.2108655027,7370542.225601539,509721.4935358695,230445.0872275666
