datetime,ac_energy_kwh
2024-12-16 00:00:00-05:00,24519.883587596178
2024-12-17 00:00:00-05:00,17912.87218602139
2024-12-18 00:00:00-05:00,24915.001814323463
2024-12-19 00:00:00-05:00,16914.241033818034
2024-12-20 00:00:00-05:00,22547.78773914598
2024-12-21 00:00:00-05:00,18677.242531595934
2024-12-22 00:00:00-05:00,10636.28722264512
2024-12-23 00:00:00-05:00,22388.743897518718
2024-12-24 00:00:00-05:00,4971.839956414119
2024-12-25 00:00:00-05:00,5272.6814609236035
2024-12-26 00:00:00-05:00,16355.876870044254
2024-12-27 00:00:00-05:00,23328.829825685498
2024-12-28 00:00:00-05:00,23080.31156142253
2024-12-29 00:00:00-05:00,17151.24206934005
2024-12-30 00:00:00-05:00,21260.499827114734
