pv_kwh,ev_kwh,mall_kwh,load_kwh,pv_to_ev_kwh,pv_to_bess_kwh,pv_to_mall_kwh,grid_export_kwh,bess_action_kwh,bess_mode,bess_to_ev_kwh,bess_to_mall_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_import_kwh,soc_percent,soc_kwh,co2_avoided_indirect_kg,tariff_period,tariff_rate_soles_kwh,cost_if_grid_import_soles,cost_avoided_by_bess_soles,cost_savings_hp_soles,cost_savings_hfp_soles,tariff_index_hp_hfp,ev_demand_after_bess_kwh,mall_demand_after_bess_kwh,load_after_bess_kwh,bess_energy_stored_hourly_kwh,bess_energy_delivered_hourly_kwh,bess_balance_error_hourly_kwh,bess_balance_error_hourly_percent,bess_validation_status_hourly
2184.4023082260496,119.28799999999993,2573,2692.288,119.28799999999993,0.0,2065.1143082260496,0.0,400.0,discharge,0.0,389.8717737923585,0.0,118.01391798159187,118.01391798159187,80.0,1600.0,176.2610289315253,HFP,0.28,753.8406400000001,109.1640966618604,0.0,0.0,1.0,119.28799999999993,2183.1282262076415,2302.4162262076416,0.0,389.8717737923585,389.8717737923585,38987.17737923585,CRITICAL
1558.7103466248775,123.87599999999992,2565,2688.8759999999997,123.87599999999992,389.8717737923585,1034.8343466248775,0.0,400.0,charge,0.0,0.0,0.0,1530.1656533751225,1530.1656533751225,99.49358868961792,1989.8717737923587,0.0,HFP,0.28,752.88528,0.0,0.0,109.1640966618604,1.0,123.87599999999992,2565.0,2688.8759999999997,389.8717737923585,0.0,-389.8717737923585,100.0,CRITICAL
1105.4315951702931,110.11199999999994,2583,2693.112,110.11199999999994,0.0,995.3195951702932,0.0,400.0,discharge,0.0,389.8717737923585,0.0,1197.8086310373483,1197.8086310373483,79.49358868961794,1589.8717737923587,176.2610289315253,HFP,0.28,754.0713600000001,109.1640966618604,0.0,0.0,1.0,110.11199999999994,2193.1282262076415,2303.2402262076416,0.0,389.8717737923585,389.8717737923585,38987.17737923585,CRITICAL
241.8706750951441,119.28799999999993,2559,2678.288,119.28799999999993,119.47881243889057,0.0,0.0,122.58267509514417,charge,0.0,0.0,0.0,2559.0,2559.0,85.46752931156246,1709.3505862312493,0.0,HFP,0.28,749.92064,0.0,0.0,33.454067482889364,1.0,119.28799999999993,2559.0,2678.288,119.47881243889057,0.0,-119.47881243889057,100.0,CRITICAL
0.0,146.8159999999999,2445,2591.816,0.0,0.0,0.0,0.0,400.0,discharge,0.0,389.8717737923585,146.8159999999999,2055.1282262076415,2201.9442262076413,65.46752931156246,1309.350586231249,176.2610289315253,HP,0.45,1166.3172,175.44229820656133,66.27820154470093,0.0,1.607142857142857,146.8159999999999,2055.1282262076415,2201.9442262076413,0.0,389.8717737923585,389.8717737923585,38987.17737923585,CRITICAL
0.0,146.8159999999999,2386,2532.816,0.0,0.0,0.0,0.0,400.0,discharge,0.0,389.8717737923585,146.8159999999999,1996.1282262076415,2142.9442262076413,45.46752931156245,909.350586231249,176.2610289315253,HP,0.45,1139.7672,175.44229820656133,66.27820154470093,0.0,1.607142857142857,146.8159999999999,1996.1282262076415,2142.9442262076413,0.0,389.8717737923585,389.8717737923585,38987.17737923585,CRITICAL
0.0,128.4639999999999,2288,2416.464,0.0,0.0,0.0,0.0,398.0796006090398,discharge,0.0,388.0,128.4639999999999,1900.0,2028.464,25.563549281110465,511.2709856222093,175.4148,HP,0.45,1087.4088,174.6,65.96,0.0,1.607142857142857,128.4639999999999,1900.0,2028.464,0.0,388.0,388.0,38800.0,CRITICAL
0.0,0.0,2089,2089.0,0.0,0.0,0.0,0.0,111.27098562220927,discharge,0.0,108.45354134038688,0.0,1980.546458659613,1980.546458659613,20.0,400.0,49.031846039988906,HP,0.45,940.0500000000001,48.804093603174096,18.437102027865766,0.0,1.607142857142857,0.0,1980.546458659613,1980.546458659613,0.0,108.45354134038688,108.45354134038688,10845.354134038687,CRITICAL
0.0,0.0,1216,1216.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,1216.0,1216.0,20.0,400.0,0.0,HP,0.45,547.2,0.0,0.0,0.0,1.607142857142857,0.0,1216.0,1216.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,731,731.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,731.0,731.0,20.0,400.0,0.0,HFP,0.28,204.68,0.0,0.0,0.0,1.0,0.0,731.0,731.0,0.0,0.0,0.0,0.0,OK
