hour,solar_kw,bess_soc_percent,mall_load_kw
216,2024-01-10 00:00:00-05:00,2024-01-10 00:00:00,10/01/2024 00:00;622
217,2024-01-10 01:00:00-05:00,2024-01-10 01:00:00,10/01/2024 01:00;512
218,2024-01-10 02:00:00-05:00,2024-01-10 02:00:00,10/01/2024 02:00;471
219,2024-01-10 03:00:00-05:00,2024-01-10 03:00:00,10/01/2024 03:00;464
220,2024-01-10 04:00:00-05:00,2024-01-10 04:00:00,10/01/2024 04:00;453
221,2024-01-10 05:00:00-05:00,2024-01-10 05:00:00,10/01/2024 05:00;428
222,2024-01-10 06:00:00-05:00,2024-01-10 06:00:00,10/01/2024 06:00;464
223,2024-01-10 07:00:00-05:00,2024-01-10 07:00:00,10/01/2024 07:00;825
224,2024-01-10 08:00:00-05:00,2024-01-10 08:00:00,10/01/2024 08:00;1068
225,2024-01-10 09:00:00-05:00,2024-01-10 09:00:00,10/01/2024 09:00;1233
226,2024-01-10 10:00:00-05:00,2024-01-10 10:00:00,10/01/2024 10:00;1858
227,2024-01-10 11:00:00-05:00,2024-01-10 11:00:00,10/01/2024 11:00;2339
228,2024-01-10 12:00:00-05:00,2024-01-10 12:00:00,10/01/2024 12:00;2377
229,2024-01-10 13:00:00-05:00,2024-01-10 13:00:00,10/01/2024 13:00;2391
230,2024-01-10 14:00:00-05:00,2024-01-10 14:00:00,10/01/2024 14:00;2394
231,2024-01-10 15:00:00-05:00,2024-01-10 15:00:00,10/01/2024 15:00;2347
232,2024-01-10 16:00:00-05:00,2024-01-10 16:00:00,10/01/2024 16:00;2352
233,2024-01-10 17:00:00-05:00,2024-01-10 17:00:00,10/01/2024 17:00;2312
234,2024-01-10 18:00:00-05:00,2024-01-10 18:00:00,10/01/2024 18:00;2250
235,2024-01-10 19:00:00-05:00,2024-01-10 19:00:00,10/01/2024 19:00;2202
236,2024-01-10 20:00:00-05:00,2024-01-10 20:00:00,10/01/2024 20:00;2119
237,2024-01-10 21:00:00-05:00,2024-01-10 21:00:00,10/01/2024 21:00;1838
238,2024-01-10 22:00:00-05:00,2024-01-10 22:00:00,10/01/2024 22:00;1096
239,2024-01-10 23:00:00-05:00,2024-01-10 23:00:00,10/01/2024 23:00;725
240,2024-01-11 00:00:00-05:00,2024-01-11 00:00:00,11/01/2024 00:00;642
241,2024-01-11 01:00:00-05:00,2024-01-11 01:00:00,11/01/2024 01:00;598
242,2024-01-11 02:00:00-05:00,2024-01-11 02:00:00,11/01/2024 02:00;606
243,2024-01-11 03:00:00-05:00,2024-01-11 03:00:00,11/01/2024 03:00;577
244,2024-01-11 04:00:00-05:00,2024-01-11 04:00:00,11/01/2024 04:00;580
245,2024-01-11 05:00:00-05:00,2024-01-11 05:00:00,11/01/2024 05:00;556
246,2024-01-11 06:00:00-05:00,2024-01-11 06:00:00,11/01/2024 06:00;627
247,2024-01-11 07:00:00-05:00,2024-01-11 07:00:00,11/01/2024 07:00;774
248,2024-01-11 08:00:00-05:00,2024-01-11 08:00:00,11/01/2024 08:00;992
249,2024-01-11 09:00:00-05:00,2024-01-11 09:00:00,11/01/2024 09:00;1134
250,2024-01-11 10:00:00-05:00,2024-01-11 10:00:00,11/01/2024 10:00;1739
251,2024-01-11 11:00:00-05:00,2024-01-11 11:00:00,11/01/2024 11:00;2151
