is_hora_punta,tarifa_soles_kwh,mall_cost_soles,mall_co2_indirect_kg
0,0.2916,554.9148,742.9312
0,0.2916,702.46436,940.4736
0,0.2916,712.08716,953.3568
0,0.2916,701.5896,939.30237
0,0.2916,703.04755,941.2544
0,0.2916,692.25836,926.8096
0,0.2916,686.13477,918.6112
0,0.2916,673.3044,901.4336
1,0.4616,1059.3721,1332.2476
1,0.4616,1056.1409,1328.184
1,0.4616,1027.5216,1292.193
1,0.4616,921.35364,1158.678
1,0.4616,539.1488,678.024
0,0.2916,210.24359,281.4784
0,0.2916,184.2912,246.73279
0,0.2916,174.3768,233.4592
0,0.2916,177.5844,237.7536
0,0.2916,176.418,236.192
0,0.2916,171.16919,229.1648
0,0.2916,163.8792,219.4048
0,0.2916,193.3308,258.8352
0,0.2916,211.40999,283.04
0,0.2916,282.852,378.688
0,0.2916,357.5016,478.6304
0,0.2916,547.9164,733.5616
0,0.2916,697.5072,933.8368
0,0.2916,703.04755,941.2544
0,0.2916,714.12836,956.0896
0,0.2916,712.08716,953.3568
0,0.2916,702.756,940.86395
0,0.2916,684.9684,917.04956
0,0.2916,673.3044,901.4336
1,0.4616,1046.9088,1316.574
1,0.4616,1046.4473,1315.9935
1,0.4616,1013.21204,1274.1975
1,0.4616,913.5064,1148.8096
1,0.4616,550.22723,691.956
0,0.2916,216.07559,289.2864
0,0.2916,195.372,261.568
0,0.2916,176.12639,235.80159
0,0.2916,177.29279,237.36319
0,0.2916,179.6256,240.48639
0,0.2916,169.41959,226.8224
0,0.2916,165.33719,221.3568
0,0.2916,189.2484,253.3696
0,0.2916,235.3212,315.0528
0,0.2916,303.26398,406.016
0,0.2916,324.2592,434.1248
0,0.2916,506.80078,678.5152
0,0.2916,649.9764,870.2016
0,0.2916,663.0984,887.7696
0,0.2916,671.2632,898.7008
0,0.2916,651.14276,871.7632
0,0.2916,612.06836,819.4496
0,0.2916,598.94635,801.8816
0,0.2916,593.1144,794.0736
1,0.4616,932.432,1172.61
1,0.4616,941.664,1184.22
1,0.4616,952.74243,1198.152
1,0.4616,855.8064,1076.2471
1,0.4616,526.224,661.77
0,0.2916,215.20079,288.1152
0,0.2916,189.2484,253.3696
0,0.2916,186.3324,249.46559
0,0.2916,184.2912,246.73279
0,0.2916,180.5004,241.6576
0,0.2916,178.4592,238.92479
0,0.2916,176.418,236.192
0,0.2916,195.372,261.568
0,0.2916,205.57799,275.232
0,0.2916,268.272,359.168
0,0.2916,321.6348,430.6112
0,0.2916,462.7692,619.56476
0,0.2916,550.8324,737.4656
0,0.2916,556.66437,745.27356
0,0.2916,550.8324,737.4656
0,0.2916,558.70557,748.0064
0,0.2916,573.8688,768.3072
0,0.2916,583.7832,781.5808
0,0.2916,574.7436,769.4784
1,0.4616,883.04083,1110.4965
1,0.4616,883.04083,1110.4965
1,0.4616,865.5,1088.4375
1,0.4616,793.0288,997.299
1,0.4616,496.22,624.03754
0,0.2916,196.2468,262.7392
0,0.2916,164.17079,219.7952
0,0.2916,158.0472,211.5968
0,0.2916,154.2564,206.52159
0,0.2916,147.54959,197.54239
0,0.2916,159.2136,213.1584
0,0.2916,156.006,208.864
0,0.2916,163.29599,218.624
0,0.2916,189.2484,253.3696
0,0.2916,284.31,380.63998
0,0.2916,331.5492,443.8848
0,0.2916,498.92758,667.97437
0,0.2916,621.69116,832.33276
0,0.2916,642.10315,859.66077
0,0.2916,642.10315,859.66077
0,0.2916,625.19037,837.0176
0,0.2916,631.0224,844.82556
0,0.2916,588.74036,788.2176
0,0.2916,564.82916,756.2048
1,0.4616,883.5024,1111.077
1,0.4616,889.0416,1118.043
1,0.4616,857.65283,1078.569
1,0.4616,804.10724,1011.231
1,0.4616,480.5256,604.30054
0,0.2916,195.0804,261.17758
0,0.2916,167.9616,224.87039
0,0.2916,164.46239,220.1856
0,0.2916,161.25479,215.89119
0,0.2916,157.1724,210.4256
0,0.2916,155.42279,208.08319
0,0.2916,151.3404,202.6176
0,0.2916,167.37839,224.0896
0,0.2916,200.3292,268.2048
0,0.2916,255.15,341.6
0,0.2916,312.3036,418.11838
0,0.2916,474.7248,635.57117
0,0.2916,572.1192,765.9648
0,0.2916,586.11597,784.704
0,0.2916,585.24115,783.5328
0,0.2916,600.1128,803.4432
0,0.2916,612.06836,819.4496
0,0.2916,634.23,849.12
0,0.2916,631.0224,844.82556
1,0.4616,997.056,1253.88
1,0.4616,973.5144,1224.2745
1,0.4616,970.7448,1220.7915
1,0.4616,898.7352,1130.2335
1,0.4616,544.2264,684.4095
0,0.2916,203.2452,272.1088
0,0.2916,178.7508,239.3152
0,0.2916,167.08679,223.69919
0,0.2916,157.46399,210.816
0,0.2916,155.1312,207.6928
0,0.2916,167.08679,223.69919
0,0.2916,148.4244,198.7136
0,0.2916,166.21199,222.528
0,0.2916,187.2072,250.6368
0,0.2916,249.0264,333.40158
0,0.2916,296.2656,396.6464
