Hour,non_shiftable_load
4323,422.0
4324,412.0
4325,388.0
4326,436.0
4327,465.0
4328,656.0
4329,1146.116
4330,1738.468
4331,2293.232
4332,2372.996
4333,2446.7599999999998
4334,2478.584
4335,2457.7599999999998
4336,2416.8759999999997
4337,2342.0519999999997
4338,1896.1802262076412
4339,1801.2402262076414
4340,1841.9442262076413
4341,1572.1282262076415
4342,1170.9999999999998
4343,553.0
4344,473.0
4345,417.0
4346,411.0
4347,412.0
4348,406.0
4349,383.0
4350,409.0
4351,433.0
4352,599.0
4353,1192.468
4354,1763.116
4355,2327.704
4356,2417.232
4357,2450.584
4358,2463.996
4359,2456.524
4360,2347.288
4361,2326.464
4362,1987.9442262076413
4363,1966.7682262076414
4364,1921.9442262076413
4365,1612.1282262076415
4366,1180.9999999999998
4367,579.0
4368,484.0
4369,434.0
4370,430.0
4371,427.0
4372,425.0
4373,388.0
4374,545.0
4375,695.0
4376,825.0
4377,1003.116
4378,1506.292
4379,2019.468
4380,2124.82
4381,2165.408
4382,2254.524
4383,2479.7599999999998
4384,2410.936
4385,2347.524
4386,1963.3562262076414
4387,1874.3562262076414
4388,1870.5322262076413
4389,1570.1282262076415
4390,1171.0
4391,560.0
4392,447.0
4393,424.0
4394,424.0
4395,417.0
4396,414.0
4397,382.0
4398,504.0
4399,641.0
4400,749.0
4401,949.704
4402,1512.116
4403,1979.644
4404,2027.056
4405,2049.348
4406,2081.112
4407,2047.172
4408,2061.288
4409,2042.288
4410,1713.9442262076413
4411,1663.4162262076413
4412,1659.7682262076414
4413,1339.1282262076415
4414,1038.9999999999998
4415,509.0
4416,424.0
4417,397.0
4418,405.0
4419,394.0
4420,388.0
4421,369.0
4422,524.0
4423,623.0
4424,763.0
4425,1023.8199999999999
4426,1690.056
4427,2143.468
4428,2154.6440000000002
4429,2158.7599999999998
4430,2203.172
4431,2223.172
4432,2237.524
4433,2237.288
4434,1841.4162262076413
4435,1809.4162262076413
4436,1781.3562262076414
4437,1486.1282262076415
4438,1075.0
4439,552.0
4440,470.0
4441,427.0
4442,430.0
4443,430.0
4444,428.0
4445,402.0
4446,515.0
4447,685.0
4448,831.0
4449,1068.704
4450,1531.704
4451,2025.056
4452,2072.232
4453,2069.172
4454,2008.408
4455,1934.996
4456,1993.76
4457,2154.524
4458,1795.1802262076412
4459,1785.1802262076412
4460,1738.5922262076415
4461,1467.1282262076415
4462,1058.0
4463,552.0
4464,473.0
4465,444.0
4466,444.0
4467,437.0
4468,434.0
4469,407.0
4470,516.0
4471,645.0
4472,763.0
4473,973.292
4474,1720.88
4475,2289.82
4476,2308.996
4477,2331.408
4478,2254.584
4479,2288.524
4480,2262.7
4481,2236.64
4482,1823.7682262076414
4483,1773.1802262076412
4484,1741.7682262076414
4485,1571.1282262076415
4486,1228.9999999999998
4487,580.0
4488,472.0
4489,439.0
4490,433.0
4491,421.0
4492,413.0
4493,393.0
4494,496.0
4495,637.0
4496,779.0
4497,1042.82
4498,1601.468
4499,2180.88
4500,2326.996
4501,2383.584
4502,2347.996
4503,2364.524
4504,2381.0519999999997
4505,2362.288
4506,1963.7682262076414
4507,1976.1202262076413
4508,1941.1202262076413
4509,1665.1282262076415
4510,1261.0
4511,654.0
4512,564.0
4513,558.0
4514,504.0
4515,494.0
4516,473.0
4517,446.0
4518,474.0
4519,514.0
4520,597.0
4521,1019.056
4522,1691.056
4523,2270.408
4524,2250.056
4525,2291.996
4526,2356.172
4527,2324.936
4528,2277.172
4529,2285.348
4530,1924.8282262076414
4531,1912.1202262076413
4532,1847.3562262076414
4533,1559.1282262076415
4534,1184.0
4535,630.0
4536,488.0
4537,448.0
4538,438.0
4539,420.0
4540,405.0
4541,379.0
4542,560.0
4543,685.0
4544,804.0
4545,1061.468
4546,1638.172
4547,2215.232
4548,2253.6440000000002
4549,2158.524
4550,2072.996
4551,2259.112
4552,2327.936
4553,2383.64
4554,1961.8282262076414
4555,1941.1802262076412
4556,1857.1802262076412
4557,1566.1282262076415
4558,1169.0
4559,562.0
4560,450.0
4561,416.0
4562,415.0
4563,408.0
4564,397.0
4565,383.0
4566,563.0
4567,700.0
4568,839.0
4569,1014.292
4570,1580.88
4571,2016.82
4572,2067.172
4573,2086.584
4574,2143.348
4575,2167.172
4576,2196.288
4577,2136.464
4578,1771.0042262076413
4579,1883.1802262076412
4580,1827.7682262076414
4581,1543.1282262076415
4582,1101.9999999999998
4583,568.0
4584,466.0
4585,436.0
4586,440.0
4587,434.0
4588,429.0
4589,407.0
4590,564.0
4591,672.0
4592,892.0
4593,1201.88
4594,1756.468
4595,2256.292
4596,2276.996
4597,2268.172
4598,2308.7599999999998
4599,2307.584
4600,2393.7
