Month,Hour,Day Type,solar_generation
6,22,6,0.007476853517495833
6,23,6,0.0
6,0,7,0.0
6,1,7,0.0
6,2,7,0.0
6,3,7,0.0
6,4,7,0.0
6,5,7,0.0
6,6,7,0.0
6,7,7,0.0
6,8,7,0.0
6,9,7,0.0
6,10,7,0.0
6,11,7,0.05381529737704056
6,12,7,0.24666972225646772
6,13,7,0.4109153637850436
6,14,7,0.47168665526593784
6,15,7,0.48188585213222823
6,16,7,0.49824793156804587
6,17,7,0.6521876777674828
6,18,7,0.5898042718027812
6,19,7,0.4949881751936985
6,20,7,0.33396186222450824
6,21,7,0.13152777245327538
6,22,7,0.01231271406176236
6,23,7,0.0
6,0,1,0.0
6,1,1,0.0
6,2,1,0.0
6,3,1,0.0
6,4,1,0.0
6,5,1,0.0
6,6,1,0.0
6,7,1,0.0
6,8,1,0.0
6,9,1,0.0
6,10,1,0.0
6,11,1,0.047202270125289145
6,12,1,0.23684978952224217
6,13,1,0.49142370230920196
6,14,1,0.6405885641646015
6,15,1,0.6383682197409097
6,16,1,0.6076814013063142
6,17,1,0.6506276826134818
6,18,1,0.5233892314150282
6,19,1,0.4322152984403341
6,20,1,0.2894191609452289
6,21,1,0.13699026184746
6,22,1,0.013146205261896582
6,23,1,0.0
6,0,2,0.0
6,1,2,0.0
6,2,2,0.0
6,3,2,0.0
6,4,2,0.0
6,5,2,0.0
6,6,2,0.0
6,7,2,0.0
6,8,2,0.0
6,9,2,0.0
6,10,2,0.0
6,11,2,0.060799274714805854
6,12,2,0.2958872631112408
6,13,2,0.5532339661606045
6,14,2,0.665415931220987
6,15,2,0.665415931220987
6,16,2,0.665415931220987
6,17,2,0.665415931220987
6,18,2,0.6090548935035247
6,19,2,0.5115244061890055
6,20,2,0.34483618184881426
6,21,2,0.12828870104698156
6,22,2,0.014754042105900662
6,23,2,0.0
6,0,3,0.0
6,1,3,0.0
6,2,3,0.0
6,3,3,0.0
6,4,3,0.0
6,5,3,0.0
6,6,3,0.0
6,7,3,0.0
6,8,3,0.0
6,9,3,0.0
6,10,3,0.0
6,11,3,0.05329042334392221
6,12,3,0.2502962391641015
6,13,3,0.5046357877726679
6,14,3,0.6580076917068809
6,15,3,0.665415931220987
6,16,3,0.665415931220987
6,17,3,0.665415931220987
6,18,3,0.6435021528331107
6,19,3,0.4858891818264793
6,20,3,0.31377509435933226
6,21,3,0.14335027905012576
6,22,3,0.015766888979758833
6,23,3,0.0
6,0,4,0.0
6,1,4,0.0
6,2,4,0.0
6,3,4,0.0
6,4,4,0.0
6,5,4,0.0
6,6,4,0.0
6,7,4,0.0
6,8,4,0.0
6,9,4,0.0
6,10,4,0.0
6,11,4,0.04824122825269757
6,12,4,0.2601626687263518
6,13,4,0.4166635761469956
6,14,4,0.49766568947580786
6,15,4,0.5762509503648654
6,16,4,0.6556833591379135
6,17,4,0.6252148618756447
6,18,4,0.4745642862762709
6,19,4,0.33737461037321687
6,20,4,0.1921557137014195
6,21,4,0.08451013973654581
