hour,pv_kwh,ev_kwh,mall_kwh,pv_used_ev_kwh,pv_used_mall_kwh,bess_charge_kwh,bess_discharge_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_export_kwh,soc_percent,soc_kwh,load_kwh,net_balance_kwh,grid_import_kwh,mall_grid_import_kwh,ev_grid_import_kwh
16,1472.2404971113524,68.0,1838.7209302325584,68.0,1404.2404971113524,0.0,0.0,0.0,434.48043312120603,0.0,100.0,1632.0,1906.7209302325584,-434.48043312120603,434.48043312120603,434.48043312120603,0.0
17,1019.6286061519336,68.0,2101.3953488372094,68.0,951.6286061519336,0.0,0.0,0.0,1149.7667426852759,0.0,100.0,1632.0,2169.3953488372094,-1149.7667426852759,1149.7667426852759,1149.7667426852759,0.0
18,0.0,68.0,2101.3953488372094,0.0,0.0,0.0,68.0,0.0,2101.3953488372094,0.0,95.7250901996452,1562.2334720582096,2169.3953488372094,-2169.3953488372094,2101.3953488372094,2101.3953488372094,0.0
19,0.0,68.0,1838.7209302325584,0.0,0.0,0.0,68.0,0.0,1838.7209302325584,0.0,91.45018039929039,1492.466944116419,1906.7209302325584,-1906.7209302325584,1838.7209302325584,1838.7209302325584,0.0
20,0.0,68.0,1576.046511627907,0.0,0.0,0.0,68.0,0.0,1576.046511627907,0.0,87.17527059893557,1422.7004161746286,1644.046511627907,-1644.046511627907,1576.046511627907,1576.046511627907,0.0
21,0.0,53.455744480595186,1313.3720930232557,0.0,0.0,0.0,53.455744480595186,0.0,1313.3720930232557,0.0,83.81470462885676,1367.8559795429424,1366.827837503851,-1366.827837503851,1313.3720930232557,1313.3720930232557,0.0
22,0.0,11.882117733723067,1050.6976744186047,0.0,0.0,0.0,11.882117733723067,0.0,1050.6976744186047,0.0,83.06771960607936,1355.6651839712154,1062.5797921523279,-1062.5797921523279,1050.6976744186047,1050.6976744186047,0.0
23,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
0,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
1,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
2,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
3,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
4,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
5,382.9840921811885,11.882117733723067,1050.6976744186047,11.882117733723067,94.76715841868076,276.33481602878464,0.0,0.0,955.930515999924,0.0,99.5712650848979,1625.0030461855338,1062.5797921523279,-679.5956999711393,955.930515999924,955.930515999924,0.0
6,651.0625356107631,11.882117733723067,1313.3720930232557,11.882117733723067,632.1834640625738,6.996953814466313,0.0,0.0,681.188628960682,0.0,99.98914418949182,1631.8228331725068,1325.2542107569789,-674.1916751462157,681.188628960682,681.188628960682,0.0
7,1020.0279320618992,11.882117733723067,1576.046511627907,11.882117733723067,1007.9686475006828,0.17716682749333756,0.0,0.0,568.0778641272242,0.0,99.99972512473877,1631.9955140357367,1587.92862936163,-567.900697299731,568.0778641272242,568.0778641272242,0.0
8,1472.8170833042564,11.882117733723067,1838.7209302325584,11.882117733723067,1460.93047960627,0.004485964263277964,0.0,0.0,377.7904506262885,0.0,99.99999304000295,1631.9998864128481,1850.6030479662816,-377.7859646620252,377.7904506262885,377.7904506262885,0.0
9,1959.895657361804,12.65244308340683,1838.7209302325584,12.65244308340683,1838.7209302325584,0.00011358715196152502,0.0,0.0,0.0,108.52217045868701,99.99999982376893,1631.999997123909,1851.3733733159652,108.52228404583889,0.0,0.0,0.0
10,2403.612630857127,17.804215543788352,1838.7209302325584,17.804215543788352,1838.7209302325584,2.876090949399668e-06,0.0,0.0,0.0,547.0874822046892,99.99999999553772,1631.9999999271756,1856.5251457763468,547.0874850807802,0.0,0.0,0.0
11,2716.710702684323,27.60520112395573,1576.046511627907,27.60520112395573,1576.046511627907,7.282432790134408e-08,0.0,0.0,0.0,1113.0589898596363,99.99999999988701,1631.999999998156,1603.6517127518628,1113.0589899324605,0.0,0.0,0.0
12,2829.890942124829,39.7983759956669,1576.046511627907,39.7983759956669,1576.046511627907,1.8439543225667876e-09,0.0,0.0,0.0,1214.0460544994112,99.99999999999713,1631.9999999999532,1615.8448876235739,1214.0460545012552,0.0,0.0,0.0
13,2716.710702684323,55.97349239617671,1576.046511627907,55.97349239617671,1576.046511627907,4.674660658565699e-11,0.0,0.0,0.0,1084.6906986601925,99.99999999999993,1631.9999999999986,1632.0200040240836,1084.6906986602396,0.0,0.0,0.0
14,2403.612630857127,67.0072323054566,1576.046511627907,67.0072323054566,1576.046511627907,1.2683187833317788e-12,0.0,0.0,0.0,760.5588869237622,100.0,1632.0,1643.0537439333636,760.5588869237633,0.0,0.0,0.0
15,1959.895657361804,68.0,1576.046511627907,68.0,1576.046511627907,0.0,0.0,0.0,0.0,315.8491457338971,100.0,1632.0,1644.046511627907,315.8491457338971,0.0,0.0,0.0
16,1472.8170833042564,68.0,1838.7209302325584,68.0,1404.8170833042564,0.0,0.0,0.0,433.9038469283021,0.0,100.0,1632.0,1906.7209302325584,-433.9038469283021,433.9038469283021,433.9038469283021,0.0
17,1020.0279320618992,68.0,2101.3953488372094,68.0,952.0279320618992,0.0,0.0,0.0,1149.3674167753102,0.0,100.0,1632.0,2169.3953488372094,-1149.3674167753102,1149.3674167753102,1149.3674167753102,0.0
18,0.0,68.0,2101.3953488372094,0.0,0.0,0.0,68.0,0.0,2101.3953488372094,0.0,95.7250901996452,1562.2334720582096,2169.3953488372094,-2169.3953488372094,2101.3953488372094,2101.3953488372094,0.0
19,0.0,68.0,1838.7209302325584,0.0,0.0,0.0,68.0,0.0,1838.7209302325584,0.0,91.45018039929039,1492.466944116419,1906.7209302325584,-1906.7209302325584,1838.7209302325584,1838.7209302325584,0.0
20,0.0,68.0,1576.046511627907,0.0,0.0,0.0,68.0,0.0,1576.046511627907,0.0,87.17527059893557,1422.7004161746286,1644.046511627907,-1644.046511627907,1576.046511627907,1576.046511627907,0.0
21,0.0,53.455744480595186,1313.3720930232557,0.0,0.0,0.0,53.455744480595186,0.0,1313.3720930232557,0.0,83.81470462885676,1367.8559795429424,1366.827837503851,-1366.827837503851,1313.3720930232557,1313.3720930232557,0.0
22,0.0,11.882117733723067,1050.6976744186047,0.0,0.0,0.0,11.882117733723067,0.0,1050.6976744186047,0.0,83.06771960607936,1355.6651839712154,1062.5797921523279,-1062.5797921523279,1050.6976744186047,1050.6976744186047,0.0
23,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
0,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
1,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
2,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
3,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
4,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
5,383.1292206860825,11.882117733723067,1050.6976744186047,11.882117733723067,94.91228692357475,276.33481602878464,0.0,0.0,955.7853874950299,0.0,99.5712650848979,1625.0030461855338,1062.5797921523279,-679.4505714662454,955.7853874950299,955.7853874950299,0.0
6,651.3092501200981,11.882117733723067,1313.3720930232557,11.882117733723067,632.4301785719088,6.996953814466313,0.0,0.0,680.941914451347,0.0,99.98914418949182,1631.8228331725068,1325.2542107569789,-673.9449606368808,680.941914451347,680.941914451347,0.0
7,1020.4144628127904,11.882117733723067,1576.046511627907,11.882117733723067,1008.355178251574,0.17716682749333756,0.0,0.0,567.691333376333,0.0,99.99972512473877,1631.9955140357367,1587.92862936163,-567.5141665488397,567.691333376333,567.691333376333,0.0
8,1473.375194582625,11.882117733723067,1838.7209302325584,11.882117733723067,1461.4885908846386,0.004485964263277964,0.0,0.0,377.23233934791983,0.0,99.99999304000295,1631.9998864128481,1850.6030479662816,-377.22785338365657,377.23233934791983,377.23233934791983,0.0
9,1960.638342847462,12.65244308340683,1838.7209302325584,12.65244308340683,1838.7209302325584,0.00011358715196152502,0.0,0.0,0.0,109.26485594434484,99.99999982376893,1631.999997123909,1851.3733733159652,109.26496953149672,0.0,0.0,0.0
